	Atf3	Batf3	Bcl6	Crem	Dmrta1	Dot1l	E2f3	Epas1	Fiz1	Foxa1	Foxo1	Hey1	Hoxa5	Ikzf2	Jun	Junb	Jund	Mycn	Nfkb1	Nfkb2	Nr1d1	Plagl2	Rora	Scrt1	Skil	Stat3	Thap3	Zbtb37	Zfp110	Zfp341	Zfp608	Zfp709	Zfp712	Zfp768	Zhx1	Znf512b
Tgfb1	0	0	0	0	0	0	0	0	0	-0.35347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21148	0	0	0	0	0	0	0	0	0	0
Tgm2	0	0	0	0	0	0	0	0	0	0.85206	0	0	0	0	0	0	0	0	0.98665	0.7862	0	0	0	0	0	0	0	0	0.65505	0	0	0	0	0	0	0
Thtpa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.93439	0	0	0	0.55209	0	0	0	0	0	0	0	0	0	0	0	0	0
Tifa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Timp2	0	0	0.91342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmco1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.35586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem109	0.87999	0	0	0	0	0	0	0	0	-0.37206	0	0	0	-0.24952	0.44032	0	0	0	0	0	0	0	0	-0.944	0	0	0	0	0	0	0	0	0	0	0	0
Tmem39a	0	0	0	0	0	0	0	0	0	0	0.39849	0	0	0	0.89399	-0.78743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmppe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.60823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tomm40l	0	0	0	0	0	0	0	0	0	0	0	0	-0.36663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60661	0	0	0	0	0	0	0
Trf	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95347	0	0	0	-0.39182	0	0	0	0	0	0	0	0.4749	0	0	0	0	0	0	0	0	0	0
Trp53inp2	0	0	0	0	0	0	0	0	0	0	0.59321	0	0.4332	0	0	0	0	0	0	0	0	0	0	0	0	0.26287	0	0	0	0	0	0	0	0	0	0
Tspan14	0	0	-0.34964	0	0	0	0	0	0	0.33158	0	0	0	0	0	0	0	0	0	0	0	0	-0.56516	0	0	0	0	0	0	0	0	0	0	0	0	0
Tspan4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.68933	0	0	0	0	0	0
Tspo	0	0	0.92315	0	0	0	0	0	0	0	0	0	0	-0.99084	0	0.85146	0	0	0	0	0	0	0	-0.77719	0	0	0	0	0	0	0	0	0	0	0	0
Ttn	0	0	0	0	0	0	0	0	0	0	0	0	0.89194	0	0	0	0	0	0	0	0	0	0.68462	0	0	0	0	0	0.85888	0	0	0	0	0	0	0
Tuba8	0.31597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42641	0	0	0	0	0	0	0	0	0	0	0	0	0.48716	0	0	0	0	0
Tusc3	0.33241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74543	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.26097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.78841	0	0	0	0	0	0	0	0	0	0	0	0	0.81354	0	0	0	0	0	0	0
Ube2o	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.065005	0	0	0	0	0	0	0.16938	0	0	0	0	0	0
Uhrf2	0.91435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Urgcp	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88599	0	0	0	0	0	0.73197	0	0	0.35904	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp38	0	0	0	0	0	0	0	0	0	0.96737	0	0	0	0	0	0	0	0	0	0	0	0	0.26592	0	0	0	0	0	0	0	0	0	-0.75224	0	0	0
Vav2	0	0.43252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92205	0.301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wbp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.36186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wdfy2	0.82565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19026	0	0	0	0	0	0	0.77195	0	0	0	0	0	0	0	0	0	0	0	0	0
Wipi1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.68158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wipi2	0	0	0	0	0	0	0	0	0.82716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wwtr1	0	0	0.96856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95041	0	0.46602	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkrx	0	0	-0.70204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85594	0	0.34935	0	0	0	0	0	0.94899	0	0	0	0	0	0	0
Xlr4a	0	0	0.93565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yrdc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44221	0	0	0	0	0	0	0
Ythdc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13598	0	0	0	0	0	0	0	0	0	0	0
Zbtb37	0	-0.27315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp608	0	0	0	0	0	0	0	0	0	0	0	0	0.44833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp768	0	0	0	0	0	0	0	0	0.42121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfyve28	0	0	0	0	0	0	-0.5947	0	0	0	0	0	0	0	0	-0.75661	0	0	0	0	0	0	0	0	0	0	0	0	0.3838	0	0	0	0	0	0	0
Zhx1	0	0	0	0	0	0	0	0	0	0.89022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zmym6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.075366	0	0
Znrf2	0	0	0	0	0	0	0	0	0	-0.32259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
